Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
DK,Samsung,A34,128 GB,Graphite,Lime,Violet,White,,,,,,,
DK,Samsung,A34,256 GB,Graphite,Lime,Violet,White,,,,,,,
DK,Samsung,A54,128 GB,Graphite,Lime,Violet,White,,,,,,,
DK,Samsung,A54,256 GB,Graphite,Lime,Violet,White,,,,,,,
DK,Apple,i13,128 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,,
DK,Apple,i13,256 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,,
DK,Apple,i13,512 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,,
DK,Apple,i13 Mini,128 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Starburst,,,,,
DK,Apple,i13 Mini,256 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Starburst,,,,,
DK,Apple,i13 Mini,512 GB,(PRODUCT) Red,Blue,Green,Midnight,Pink,Starburst,,,,,
DK,Apple,i13 Pro,1 TB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro,128 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro,256 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro,512 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro Max,1 TB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro Max,128 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro Max,256 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i13 Pro Max,512 GB,Blue,Gold,1,Green,Silver,,,,,,
DK,Apple,i14,128 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
DK,Apple,i14,256 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
